date,direction,ib_range,entry,exit,pnl,exit_reason,WL
2025-08-07 00:00:00,LONG,128.5,24050.50,24016.72,-495.53,STOP,L
2025-08-07 00:00:00,LONG,128.5,24039.75,24016.72,-542.19,STOP,L
2025-08-13 00:00:00,LONG,117.8,24458.25,24426.59,-532.52,STOP,L
2025-08-13 00:00:00,LONG,117.8,24446.25,24426.59,-553.34,STOP,L
2025-08-19 00:00:00,LONG,97.5,23953.25,23923.88,-495.92,STOP,L
2025-08-19 00:00:00,LONG,97.5,23942.75,23950.00,146.38,EOD,W
2025-08-20 00:00:00,LONG,86.5,23724.50,23699.03,-541.90,STOP,L
2025-09-08 00:00:00,LONG,104.5,24283.75,24263.75,-302.68,EOD,L
2025-09-10 00:00:00,LONG,104.2,24411.25,24378.11,-486.61,STOP,L
2025-09-10 00:00:00,LONG,104.2,24405.00,24378.11,-513.14,STOP,L
2025-09-10 00:00:00,LONG,104.2,24402.00,24378.11,-510.15,STOP,L
2025-09-16 00:00:00,LONG,79.8,24790.00,24764.79,-536.65,STOP,L
2025-09-16 00:00:00,LONG,79.8,24780.25,24764.79,-580.81,STOP,L
2025-09-16 00:00:00,LONG,79.8,24780.75,24764.79,-562.64,STOP,L
2025-09-16 00:00:00,LONG,79.8,24780.75,24764.79,-562.64,STOP,L
2025-09-17 00:00:00,LONG,103.8,24697.75,24677.44,-526.38,STOP,L
2025-09-19 00:00:00,LONG,80.0,25008.25,25033.50,425.34,TARGET,W
2025-09-19 00:00:00,LONG,80.0,24999.00,24981.50,-573.60,STOP,L
2025-09-23 00:00:00,LONG,80.2,25197.75,25225.62,525.10,TARGET,W
2025-09-23 00:00:00,LONG,80.2,25200.25,25173.46,-511.33,STOP,L
2025-09-23 00:00:00,LONG,80.2,25186.75,25173.46,-596.30,STOP,L
2025-09-23 00:00:00,LONG,80.2,25192.75,25173.46,-543.59,STOP,L
2025-09-23 00:00:00,LONG,80.2,25190.75,25173.46,-567.22,STOP,L
2025-09-24 00:00:00,LONG,114.8,25057.00,25023.29,-494.66,STOP,L
2025-09-24 00:00:00,LONG,114.8,25057.25,25023.29,-498.16,STOP,L
2025-09-24 00:00:00,LONG,114.8,25041.75,25023.29,-562.31,STOP,L
2025-09-26 00:00:00,LONG,213.2,24803.50,24882.62,620.04,TARGET,W
2025-09-29 00:00:00,LONG,129.0,25122.75,25083.15,-494.64,STOP,L
2025-09-29 00:00:00,LONG,129.0,25103.75,25083.15,-533.28,STOP,L
2025-09-29 00:00:00,LONG,129.0,25112.75,25083.15,-499.52,STOP,L
2025-09-30 00:00:00,LONG,108.8,24997.75,25032.62,465.57,TARGET,W
2025-10-02 00:00:00,LONG,155.0,25296.50,25347.50,493.80,TARGET,W
2025-10-02 00:00:00,LONG,155.0,25293.75,25347.50,521.30,TARGET,W
2025-10-02 00:00:00,LONG,155.0,25277.50,25347.50,1094.08,TARGET,W
2025-10-03 00:00:00,LONG,117.0,25313.00,25289.45,-553.74,STOP,L
2025-10-06 00:00:00,LONG,105.0,25383.00,25425.25,812.60,TARGET,W
2025-10-13 00:00:00,LONG,189.0,25011.50,25075.00,495.04,TARGET,W
2025-10-15 00:00:00,LONG,216.2,25181.75,25120.56,-502.46,STOP,L
2025-10-15 00:00:00,LONG,216.2,25191.50,25120.56,-435.35,STOP,L
2025-10-15 00:00:00,LONG,216.2,25167.00,25120.56,-480.57,STOP,L
2025-10-17 00:00:00,LONG,288.2,24975.25,25072.62,383.02,TARGET,W
2025-10-21 00:00:00,LONG,98.5,25478.25,25511.25,502.08,TARGET,W
2025-10-30 00:00:00,LONG,240.2,26240.75,26318.38,456.03,TARGET,W
2025-10-31 00:00:00,LONG,148.0,26329.50,26293.80,-522.48,STOP,L
2025-11-03 00:00:00,LONG,233.0,26301.25,26405.50,1026.30,TARGET,W
2025-11-03 00:00:00,LONG,233.0,26328.00,26405.50,455.28,TARGET,W
2025-11-03 00:00:00,LONG,233.0,26319.50,26405.50,506.28,TARGET,W
2025-11-04 00:00:00,LONG,230.5,25946.00,25884.42,-505.56,STOP,L
2025-11-04 00:00:00,LONG,230.5,25928.75,25884.42,-459.45,STOP,L
2025-11-04 00:00:00,LONG,230.5,25921.50,25884.42,-464.34,STOP,L
2025-11-06 00:00:00,LONG,281.2,25703.50,25618.31,-347.23,STOP,L
2025-11-07 00:00:00,LONG,233.2,25175.75,25103.01,-446.14,STOP,L
2025-11-10 00:00:00,LONG,141.2,25802.75,25760.06,-443.07,STOP,L
2025-11-11 00:00:00,LONG,113.2,25803.50,25771.76,-533.72,STOP,L
2025-11-12 00:00:00,LONG,220.2,25856.75,25784.46,-443.44,STOP,L
2025-11-12 00:00:00,LONG,220.2,25827.75,25784.46,-449.07,STOP,L
2025-11-12 00:00:00,LONG,220.2,25819.50,25784.46,-513.20,STOP,L
