strategy_name,setup_type,day_type,trend_strength,session_date,entry_time,exit_time,bars_held,direction,contracts,signal_price,entry_price,exit_price,stop_price,target_price,gross_pnl,commission,slippage_cost,net_pnl,exit_reason,r_multiple,is_winner
Balance Signal,VA_EDGE_FADE,trend_up,strong,2025-05-15 00:00:00,2025-05-15 11:38:00,2025-05-15 11:45:00,7,SHORT,1,22113.75,22113.75,22143.41,22143.16,22023.4,-593.25,4.1,10.0,-607.35,STOP,-1.01,0
Balance Signal,VA_EDGE_FADE,b_day,weak,2025-07-25 00:00:00,2025-07-25 10:49:00,2025-07-25 12:09:00,80,SHORT,1,23908.5,23908.5,23930.15,23929.9,23884.25,-433.0,4.1,10.0,-447.1,STOP,-1.01,0
Balance Signal,VA_EDGE_FADE,p_day,moderate,2025-07-29 00:00:00,2025-07-29 11:54:00,2025-07-29 12:12:00,18,SHORT,1,24006.75,24006.75,23976.0,24031.36,23975.75,615.0,4.1,10.0,600.9,TARGET,1.25,1
Balance Signal,VA_EDGE_FADE,b_day,weak,2025-08-18 00:00:00,2025-08-18 11:43:00,2025-08-18 13:00:00,77,LONG,1,24237.0,24237.0,24228.75,24210.45,24275.43,-165.0,4.1,10.0,-179.1,VWAP_BREACH_PM,-0.31,0
Balance Signal,VA_EDGE_FADE,b_day,weak,2025-08-27 00:00:00,2025-08-27 10:47:00,2025-08-27 11:49:00,62,SHORT,1,24087.75,24087.75,24113.06,24112.81,24061.23,-506.25,4.1,10.0,-520.35,STOP,-1.01,0
Balance Signal,VA_EDGE_FADE,b_day,weak,2025-09-04 00:00:00,2025-09-04 10:42:00,2025-09-04 11:28:00,46,SHORT,1,24012.5,24012.5,24043.2,24042.95,23976.34,-614.0,4.1,10.0,-628.1,STOP,-1.01,0
Balance Signal,VA_EDGE_FADE,p_day,moderate,2025-09-09 00:00:00,2025-09-09 11:02:00,2025-09-09 11:57:00,55,LONG,1,24268.5,24268.5,24306.49,24240.96,24306.74,759.9,4.1,10.0,745.8,TARGET,1.38,1
Balance Signal,VA_EDGE_FADE,b_day,weak,2025-09-11 00:00:00,2025-09-11 10:33:00,2025-09-11 10:41:00,8,SHORT,1,24476.5,24476.5,24507.9,24507.65,24441.11,-628.0,4.1,10.0,-642.1,STOP,-1.01,0
Balance Signal,VA_EDGE_FADE,b_day,weak,2025-09-19 00:00:00,2025-09-19 12:11:00,2025-09-19 13:00:00,49,SHORT,1,25062.5,25062.5,25078.25,25093.5,25010.74,-315.0,4.1,10.0,-329.1,VWAP_BREACH_PM,-0.51,0
Balance Signal,VA_EDGE_FADE,p_day,moderate,2025-10-01 00:00:00,2025-10-01 11:35:00,2025-10-01 11:57:00,22,SHORT,1,25164.0,25164.0,25194.34,25194.09,25066.25,-606.75,4.1,10.0,-620.85,STOP,-1.01,0
Balance Signal,VA_EDGE_FADE,p_day,moderate,2025-10-21 00:00:00,2025-10-21 12:51:00,2025-10-21 13:00:00,9,SHORT,1,25597.25,25597.25,25536.01,25597.25,25535.76,1224.8,4.1,10.0,1210.7,TARGET,0.0,1
Balance Signal,VA_EDGE_FADE,trend_up,strong,2025-12-01 00:00:00,2025-12-01 12:49:00,2025-12-01 12:51:00,2,SHORT,1,25746.5,25746.5,25721.88,25770.14,25721.62,492.5,4.1,10.0,478.4,TARGET,1.04,1
Balance Signal,VA_EDGE_FADE,b_day,weak,2025-12-10 00:00:00,2025-12-10 10:46:00,2025-12-10 11:01:00,15,LONG,1,25838.5,25838.5,25802.49,25802.74,25899.59,-720.25,4.1,10.0,-734.35,STOP,-1.01,0
Balance Signal,VA_EDGE_FADE,b_day,weak,2026-02-17 00:00:00,2026-02-17 11:22:00,2026-02-17 12:46:00,84,SHORT,1,24776.0,24776.0,24633.0,24808.99,24632.75,2860.0,4.1,10.0,2845.9,TARGET,4.33,1
