strategy_name,setup_type,day_type,trend_strength,session_date,entry_time,exit_time,bars_held,direction,contracts,signal_price,entry_price,exit_price,stop_price,target_price,gross_pnl,commission,slippage_cost,net_pnl,exit_reason,r_multiple,is_winner
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-02-20 00:00:00,2025-02-20 10:30:00,2025-02-20 10:36:00,6,SHORT,3,23107.5,23107.5,22987.68,23167.91,22987.43,718.95,3.72,3.0,712.23,TARGET,1.98,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-02-24 00:00:00,2025-02-24 10:30:00,2025-02-24 10:31:00,1,SHORT,2,22650.75,22650.75,22455.1,22749.08,22454.85,782.6,2.48,2.0,778.12,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-02-27 00:00:00,2025-02-27 10:30:00,2025-02-27 14:25:00,235,SHORT,1,22186.5,22186.5,21859.0,22186.5,21858.75,655.0,1.24,1.0,652.76,TARGET,0.0,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-03-03 00:00:00,2025-03-03 10:30:00,2025-03-03 13:33:00,183,SHORT,1,21911.5,21911.5,21580.48,21911.5,21580.22,662.05,1.24,1.0,659.81,TARGET,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-03-04 00:00:00,2025-03-04 10:30:00,2025-03-04 10:31:00,1,LONG,1,21326.25,21326.25,21146.25,21146.5,21685.0,-360.0,1.24,1.0,-362.24,STOP,-1.0,0
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-03-07 00:00:00,2025-03-07 10:30:00,2025-03-07 10:32:00,2,LONG,1,21048.75,21048.75,20902.76,20903.01,21339.48,-291.97,1.24,1.0,-294.21,STOP,-1.0,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-03-11 00:00:00,2025-03-11 10:30:00,2025-03-11 14:08:00,218,SHORT,1,20370.5,20370.5,20346.0,20370.5,20026.28,49.0,1.24,1.0,46.76,VWAP_BREACH_PM,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-03-20 00:00:00,2025-03-20 10:30:00,2025-03-20 13:00:00,150,LONG,1,20586.0,20586.0,20584.0,20437.95,20881.35,-4.0,1.24,1.0,-6.24,VWAP_BREACH_PM,-0.01,0
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-03-21 00:00:00,2025-03-21 10:30:00,2025-03-21 15:30:00,300,LONG,1,20434.25,20434.25,20549.75,20434.25,20713.43,231.0,1.24,1.0,228.76,EOD,0.0,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-03-26 00:00:00,2025-03-26 10:30:00,2025-03-26 10:31:00,1,SHORT,3,21147.5,21147.5,21025.8,21208.85,21025.55,730.2,3.72,3.0,723.48,TARGET,1.98,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-04-02 00:00:00,2025-04-02 10:30:00,2025-04-02 12:30:00,120,LONG,1,20145.5,20145.5,20464.7,19985.4,20464.95,638.4,1.24,1.0,636.16,TARGET,1.99,1
