strategy_name,setup_type,day_type,trend_strength,session_date,entry_time,exit_time,bars_held,direction,contracts,signal_price,entry_price,exit_price,stop_price,target_price,gross_pnl,commission,slippage_cost,net_pnl,exit_reason,r_multiple,is_winner
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-02-21 00:00:00,2025-02-21 10:30:00,2025-02-21 10:31:00,1,SHORT,21,23015.5,23015.5,22997.07,23025.21,22996.82,774.0,26.04,21.0,726.96,TARGET,1.9,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-02-27 00:00:00,2025-02-27 10:30:00,2025-02-27 10:31:00,1,LONG,12,22246.75,22246.75,22229.98,22230.23,22279.04,-402.43,14.88,12.0,-429.31,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-02-28 00:00:00,2025-02-28 10:30:00,2025-02-28 10:31:00,1,SHORT,13,21509.5,21509.5,21524.49,21524.24,21480.77,-389.77,16.12,13.0,-418.89,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-03-04 00:00:00,2025-03-04 10:30:00,2025-03-04 10:31:00,1,SHORT,10,21228.5,21228.5,21192.0,21247.25,21191.75,730.0,12.4,10.0,707.6,TARGET,1.95,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-03-05 00:00:00,2025-03-05 10:30:00,2025-03-05 10:31:00,1,SHORT,10,21352.25,21352.25,21315.54,21371.11,21315.29,734.29,12.4,10.0,711.89,TARGET,1.95,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-03-06 00:00:00,2025-03-06 10:30:00,2025-03-06 10:31:00,1,SHORT,13,21288.0,21288.0,21303.24,21302.99,21258.77,-396.27,16.12,13.0,-425.39,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-03-12 00:00:00,2025-03-12 10:30:00,2025-03-12 10:31:00,1,LONG,13,20599.0,20599.0,20583.78,20584.03,20628.2,-395.8,16.12,13.0,-424.92,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-03-13 00:00:00,2025-03-13 10:30:00,2025-03-13 10:31:00,1,LONG,14,20424.25,20424.25,20409.92,20410.17,20451.66,-401.25,17.36,14.0,-432.61,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-03-14 00:00:00,2025-03-14 10:30:00,2025-03-14 10:31:00,1,LONG,16,20489.25,20489.25,20476.29,20476.54,20513.91,-414.57,19.84,16.0,-450.41,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-03-17 00:00:00,2025-03-17 10:30:00,2025-03-17 10:31:00,1,LONG,17,20654.75,20654.75,20642.7,20642.95,20677.61,-409.82,21.08,17.0,-447.9,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-03-19 00:00:00,2025-03-19 10:30:00,2025-03-19 10:31:00,1,LONG,23,20455.25,20455.25,20471.52,20446.62,20471.77,748.32,28.52,23.0,696.8,TARGET,1.88,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-03-20 00:00:00,2025-03-20 10:30:00,2025-03-20 10:31:00,1,SHORT,18,20719.75,20719.75,20730.88,20730.62,20698.75,-400.5,22.32,18.0,-440.82,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-03-25 00:00:00,2025-03-25 10:30:00,2025-03-25 10:31:00,1,LONG,30,21080.75,21080.75,21093.07,21074.09,21093.32,739.29,37.2,30.0,672.09,TARGET,1.85,1
