strategy_name,setup_type,day_type,trend_strength,session_date,entry_time,exit_time,bars_held,direction,contracts,signal_price,entry_price,exit_price,stop_price,target_price,gross_pnl,commission,slippage_cost,net_pnl,exit_reason,r_multiple,is_winner
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-07 00:00:00,2025-08-07 10:39:00,2025-08-07 10:56:00,17,LONG,6,24050.25,24050.25,24016.97,24017.22,24100.75,-399.3,7.44,6.0,-412.74,STOP,-1.01,0
B-Day,B_DAY_IBL_FADE,b_day,weak,2025-08-07 00:00:00,2025-08-07 11:01:00,2025-08-07 11:03:00,2,LONG,12,24039.5,24039.5,24023.4,24023.65,24100.75,-386.4,14.88,12.0,-413.28,STOP,-1.02,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-07 00:00:00,2025-08-07 11:01:00,2025-08-07 11:03:00,2,LONG,9,24039.5,24039.5,24016.97,24017.22,24100.75,-405.45,11.16,9.0,-425.61,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-07 00:00:00,2025-08-07 11:21:00,2025-08-07 11:27:00,6,LONG,6,24049.75,24049.75,24016.97,24017.22,24100.75,-393.3,7.44,6.0,-406.74,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-11 00:00:00,2025-08-11 14:03:00,2025-08-11 14:45:00,42,LONG,7,24189.5,24189.5,24161.49,24161.74,24218.12,-392.18,8.68,7.0,-407.86,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-11 00:00:00,2025-08-11 14:23:00,2025-08-11 14:45:00,22,LONG,11,24179.0,24179.0,24161.49,24161.74,24218.12,-385.28,13.64,11.0,-409.92,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-11 00:00:00,2025-08-11 14:43:00,2025-08-11 14:45:00,2,LONG,10,24181.5,24181.5,24161.49,24161.74,24218.12,-400.25,12.4,10.0,-422.65,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-13 00:00:00,2025-08-13 10:31:00,2025-08-13 10:48:00,17,LONG,6,24458.0,24458.0,24426.84,24427.09,24503.62,-373.95,7.44,6.0,-387.39,STOP,-1.01,0
B-Day,B_DAY_IBL_FADE,b_day,weak,2025-08-13 00:00:00,2025-08-13 10:36:00,2025-08-13 10:48:00,12,LONG,10,24453.0,24453.0,24432.72,24432.97,24503.62,-405.5,12.4,10.0,-427.9,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-13 00:00:00,2025-08-13 10:53:00,2025-08-13 11:05:00,12,LONG,10,24446.0,24446.0,24426.84,24427.09,24503.62,-383.25,12.4,10.0,-405.65,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-13 00:00:00,2025-08-13 11:44:00,2025-08-13 11:53:00,9,LONG,8,24451.25,24451.25,24426.84,24427.09,24503.62,-390.6,9.92,8.0,-408.52,STOP,-1.01,0
P-Day,P_DAY_VWAP_LONG,p_day,moderate,2025-08-15 00:00:00,2025-08-15 10:57:00,2025-08-15 11:16:00,19,LONG,7,24328.75,24328.75,24302.86,24303.11,24421.88,-362.45,8.68,7.0,-378.13,STOP,-1.01,0
Trend Day Bull,VWAP_PULLBACK,p_day,moderate,2025-08-15 00:00:00,2025-08-15 10:59:00,2025-08-15 11:16:00,17,LONG,6,24334.25,24334.25,24302.86,24303.11,24427.38,-376.62,7.44,6.0,-390.06,STOP,-1.01,0
Trend Day Bull,VWAP_PULLBACK,p_day,moderate,2025-08-18 00:00:00,2025-08-18 11:37:00,2025-08-18 15:30:00,173,LONG,6,24275.0,24275.0,24306.75,24275.0,24361.75,381.0,7.44,6.0,367.56,EOD,0.0,1
P-Day,P_DAY_VWAP_LONG,p_day,moderate,2025-08-18 00:00:00,2025-08-18 11:37:00,2025-08-18 15:30:00,173,LONG,6,24275.0,24275.0,24306.75,24275.0,24361.75,381.0,7.44,6.0,367.56,EOD,0.0,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-19 00:00:00,2025-08-19 11:45:00,2025-08-19 12:02:00,17,LONG,7,23953.0,23953.0,23924.12,23924.38,23987.75,-404.25,8.68,7.0,-419.93,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-19 00:00:00,2025-08-19 12:22:00,2025-08-19 15:30:00,128,LONG,11,23942.5,23942.5,23950.25,23942.5,23987.75,170.5,13.64,11.0,145.86,EOD,0.0,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-20 00:00:00,2025-08-20 11:09:00,2025-08-20 11:20:00,11,LONG,8,23724.25,23724.25,23699.28,23699.53,23755.75,-399.6,9.92,8.0,-417.52,STOP,-1.01,0
B-Day,B_DAY_IBL_FADE,b_day,weak,2025-08-20 00:00:00,2025-08-20 11:14:00,2025-08-20 11:20:00,6,LONG,11,23721.75,23721.75,23703.6,23703.85,23755.75,-399.3,13.64,11.0,-423.94,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-08-20 00:00:00,2025-08-20 11:34:00,2025-08-20 11:47:00,13,LONG,7,23726.25,23726.25,23755.5,23699.53,23755.75,409.5,8.68,7.0,393.82,TARGET,1.09,1
Trend Day Bull,VWAP_PULLBACK,p_day,moderate,2025-08-21 00:00:00,2025-08-21 12:07:00,2025-08-21 12:59:00,52,LONG,5,23736.0,23736.0,23697.81,23698.06,23876.0,-381.93,6.2,5.0,-393.13,STOP,-1.01,0
